69402,"(0, 1)",We 'll have to get a  a better box .,"[We/PRP, 'll/MD, have/VB, to/TO, get/VB, a/DT, a/DT, better/JJR, box/NN, ./.]",(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB get) (NP (DT a) (ADJP (DT a) (JJR better)) (NN box))))))) (. .)))
69402,"(22,)",And he gave me one .,"[And/CC, he/PRP, gave/VBD, me/PRP, one/CD, ./.]",(ROOT (S (CC And) (NP (PRP he)) (VP (VBD gave) (NP (PRP me)) (NP (CD one))) (. .)))
69402,"(23,)",I think I 'll get the Radio Times this week   .,"[I/PRP, think/VBP, I/PRP, 'll/MD, get/VB, the/DT, Radio/NN, Times/NNS, this/DT, week/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD 'll) (VP (VB get) (NP (DT the) (NN Radio) (NNS Times)) (NP (DT this) (NN week))))))) (. .)))
69402,"(24,)",The Radio Times ?,"[The/DT, Radio/NN, Times/NNS, ?/.]",(ROOT (NP (NP (DT The) (NN Radio)) (NP (NNS Times)) (. ?)))
69402,"(25,)",Why ?,"[Why/WRB, ?/.]",(ROOT (FRAG (WRB Why) (. ?)))
69402,"(26, 27, 28)",Cos it 's got all the  them extra wo- got all of them extra ones in .,"[Cos/NN, it/PRP, 's/VBZ, got/VBN, all/PDT, the/DT, them/PRP, extra/JJ, wo-/JJ, got/VBD, all/DT, of/IN, them/PRP, extra/JJ, ones/NNS, in/IN, ./.]",(ROOT (S (NP (NP (NN Cos)) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBN got) (S (NP (PDT all) (DT the)) (NP (NP (PRP them)) (ADJP (JJ extra) (JJ wo-))))))))) (VP (VBD got) (NP (NP (DT all)) (PP (IN of) (NP (PRP them)))) (ADVP (NP (JJ extra) (NNS ones)) (IN in))) (. .)))
69402,"(29,)",Oh .,"[Oh/UH, ./.]",(ROOT (INTJ (UH Oh) (. .)))
69402,"(30,)",Are we staying up all Thursday night ?,"[Are/VBP, we/PRP, staying/VBG, up/RP, all/DT, Thursday/NNP, night/NN, ?/.]",(ROOT (SQ (VBP Are) (NP (PRP we)) (VP (VBG staying) (PRT (RP up)) (NP (DT all) (NNP Thursday) (NN night))) (. ?)))
69402,"(31,)",I don 't know .,"[I/PRP, don/VBP, 't/PRP, know/VB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know)))) (. .)))
69402,"(32,)",What shift are you on on Friday ?,"[What/WDT, shift/NN, are/VBP, you/PRP, on/IN, on/IN, Friday/NNP, ?/.]",(ROOT (SBARQ (WHNP (WDT What) (NN shift)) (SQ (VBP are) (NP (PRP you)) (PP (IN on) (PP (IN on) (NP (NNP Friday))))) (. ?)))
69402,"(33,)",I 'm off .,"[I/PRP, 'm/VBP, off/RP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RP off))) (. .)))
69402,"(34,)",Oh !,"[Oh/UH, !/.]",(ROOT (INTJ (UH Oh) (. !)))
69402,"(35,)",Of course .,"[Of/IN, course/NN, ./.]",(ROOT (FRAG (PP (IN Of) (NP (NN course))) (. .)))
69402,"(36,)",Well you could stay in bed all day on Friday .,"[Well/RB, you/PRP, could/MD, stay/VB, in/IN, bed/NN, all/DT, day/NN, on/IN, Friday/NNP, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP you)) (VP (MD could) (VP (VB stay) (PP (IN in) (NP (NP (NN bed)) (NP (DT all) (NN day)))) (PP (IN on) (NP (NNP Friday))))) (. .)))
69402,"(37, 38)",And I could take the kids to school and go back  I could do that .,"[And/CC, I/PRP, could/MD, take/VB, the/DT, kids/NNS, to/TO, school/NN, and/CC, go/VB, back/RB, I/PRP, could/MD, do/VB, that/DT, ./.]",(ROOT (S (CC And) (NP (PRP I)) (VP (MD could) (VP (VP (VB take) (NP (DT the) (NNS kids)) (PP (TO to) (NP (NN school)))) (CC and) (VP (VB go) (S (ADVP (RB back)) (NP (PRP I)) (VP (MD could) (VP (VB do) (NP (DT that)))))))) (. .)))
69402,"(39,)",,[],X
69402,"(40, 41)",We need to  oh no we don 't .,"[We/PRP, need/VBP, to/TO, oh/UH, no/DT, we/PRP, don/VBP, 't/PRP, ./.]",(ROOT (S (S (NP (PRP We)) (VP (VBP need) (PP (TO to) (NP (INTJ (UH oh)))))) (NP (DT no) (PRP we)) (VP (VBP don) (NP (PRP 't))) (. .)))
69402,"(42, 43)",I need to go to the Co-op  and Iceland .,"[I/PRP, need/VBP, to/TO, go/VB, to/TO, the/DT, Co-op/NN, and/CC, Iceland/NNP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP need) (S (VP (TO to) (VP (VB go) (PP (TO to) (NP (NP (DT the) (NN Co-op)) (CC and) (NP (NNP Iceland)))))))) (. .)))
69402,"(44,)",What shall I get for your mother ?,"[What/WDT, shall/MD, I/PRP, get/VB, for/IN, your/PRP$, mother/NN, ?/.]",(ROOT (SBARQ (WHNP (WDT What)) (SQ (MD shall) (NP (PRP I)) (VP (VB get) (PP (IN for) (NP (PRP$ your) (NN mother))))) (. ?)))
69402,"(45,)",I 'll get her some chocolate biscuits or something .,"[I/PRP, 'll/MD, get/VB, her/PRP$, some/DT, chocolate/NN, biscuits/NNS, or/CC, something/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB get) (S (NP (PRP$ her)) (NP (NP (DT some) (NN chocolate) (NNS biscuits)) (CC or) (NP (NN something)))))) (. .)))
69402,"(46, 47)",You would think she would  put on a lot of weight wouldn 't you ?,"[You/PRP, would/MD, think/VB, she/PRP, would/MD, put/VB, on/RP, a/DT, lot/NN, of/IN, weight/NN, wouldn/NN, 't/PRP, you/PRP, ?/.]",(ROOT (SINV (S (NP (PRP You)) (VP (MD would) (VP (VB think) (NP (PRP she))))) (VP (MD would) (VP (VB put) (PRT (RP on)) (NP (DT a) (NN lot)) (PP (IN of) (NP (NN weight) (NN wouldn))) (NP (PRP 't)))) (NP (PRP you)) (. ?)))
69402,"(48,)",I don 't think she eats that much though .,"[I/PRP, don/VBP, 't/PRP, think/VB, she/PRP, eats/VBZ, that/IN, much/JJ, though/IN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB think) (SBAR (S (NP (PRP she)) (VP (VBZ eats) (ADJP (IN that) (JJ much)) (ADVP (IN though)))))))) (. .)))
69402,"(49, 50)","I know , she 's  she doesn 't eat that much , but what she is eating i- everything 's sweet .","[I/PRP, know/VBP, ,/,, she/PRP, 's/VBZ, she/PRP, doesn/VBZ, 't/PRP, eat/VB, that/DT, much/JJ, ,/,, but/CC, what/WP, she/PRP, is/VBZ, eating/VBG, i-/JJ, everything/NN, 's/POS, sweet/JJ, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBP know))) (, ,) (NP (PRP she)) (VP (VBZ 's) (SBAR (SBAR (S (NP (PRP she)) (VP (VBZ doesn) (S (NP (PRP 't)) (VP (VB eat) (S (NP (DT that)) (ADJP (JJ much)))))))) (, ,) (CC but) (SBAR (WHNP (WP what)) (S (NP (PRP she)) (VP (VBZ is) (VP (VBG eating) (NP (NP (JJ i-) (NN everything) (POS 's)) (JJ sweet)))))))) (. .)))"
69402,"(51,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
69402,"(52,)",Chocolates and,"[Chocolates/NNS, and/CC]",(ROOT (FRAG (NP (NP (NNS Chocolates)) (ADVP (CC and)))))
69402,"(53,)",Is she eating them ?,"[Is/VBZ, she/PRP, eating/VBG, them/PRP, ?/.]",(ROOT (SQ (VBZ Is) (NP (PRP she)) (VP (VBG eating) (NP (PRP them))) (. ?)))
69402,"(54,)",Pardon ?,"[Pardon/NN, ?/.]",(ROOT (FRAG (NP (NN Pardon)) (. ?)))
69402,"(55,)",Does she eat   though ?,"[Does/VBZ, she/PRP, eat/VB, though/IN, ?/.]",(ROOT (SQ (VBZ Does) (NP (PRP she)) (VP (VB eat) (ADVP (IN though))) (. ?)))
69402,"(56, 57)",Well sh- I don 't know .,"[Well/RB, sh-/NN, I/PRP, don/VBP, 't/PRP, know/VB, ./.]",(ROOT (FRAG (ADVP (RB Well)) (NP (NP (NN sh-)) (SBAR (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know))))))) (. .)))
69402,"(58,)",You know what the,"[You/PRP, know/VBP, what/WP, the/DT]",(ROOT (S (NP (PRP You)) (VP (VBP know) (WHNP (WP what) (NP (DT the))))))
69402,"(59,)",She goes in the,"[She/PRP, goes/VBZ, in/IN, the/DT]",(ROOT (S (NP (PRP She)) (VP (VBZ goes) (PP (IN in) (NP (DT the))))))
69402,"(60,)",staff are like ?,"[staff/NN, are/VBP, like/IN, ?/.]",(ROOT (S (NP (NN staff)) (VP (VBP are) (PP (IN like))) (. ?)))
69402,"(61,)",Mm ?,"[Mm/NN, ?/.]",(ROOT (FRAG (NP (NN Mm)) (. ?)))
69402,"(62,)",You know what those sa- staff are like .,"[You/PRP, know/VBP, what/WP, those/DT, sa-/JJ, staff/NN, are/VBP, like/IN, ./.]",(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (NP (DT those) (JJ sa-) (NN staff)) (VP (VBP are) (PP (IN like)))))) (. .)))
69402,"(63,)",I know .,"[I/PRP, know/VBP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP know)) (. .)))
69402,"(64,)","Most of them are , well yes .","[Most/JJS, of/IN, them/PRP, are/VBP, ,/,, well/RB, yes/RB, ./.]","(ROOT (S (NP (NP (JJS Most)) (PP (IN of) (NP (PRP them)))) (VP (VP (VBP are)) (, ,) (VP (ADVP (RB well)) (NP (RB yes)))) (. .)))"
69402,"(65,)","But , they certainly do .","[But/CC, ,/,, they/PRP, certainly/RB, do/VBP, ./.]","(ROOT (S (CC But) (, ,) (NP (PRP they)) (ADVP (RB certainly)) (VP (VBP do)) (. .)))"
69402,"(66,)","If anyone offered me a chocolate when I was nursing , yes I would eat it cos I was always   hungry   .","[If/IN, anyone/NN, offered/VBD, me/PRP, a/DT, chocolate/NN, when/WRB, I/PRP, was/VBD, nursing/VBG, ,/,, yes/UH, I/PRP, would/MD, eat/VB, it/PRP, cos/NN, I/PRP, was/VBD, always/RB, hungry/JJ, ./.]","(ROOT (S (SBAR (IN If) (S (NP (NN anyone)) (VP (VBD offered) (NP (PRP me)) (NP (NP (DT a) (NN chocolate)) (SBAR (WHADVP (WRB when)) (S (S (NP (PRP I)) (VP (VBD was) (VP (VBG nursing)))) (, ,) (S (INTJ (UH yes)) (NP (PRP I)) (VP (MD would) (VP (VB eat) (S (NP (PRP it)) (NP (NN cos)))))))))))) (NP (PRP I)) (VP (VBD was) (ADVP (RB always)) (ADJP (JJ hungry))) (. .)))"
69402,"(67, 68)",Which reminds me I meant to get weighed this morning  before I had my breakfast .,"[Which/WDT, reminds/VBZ, me/PRP, I/PRP, meant/VBD, to/TO, get/VB, weighed/VBN, this/DT, morning/NN, before/IN, I/PRP, had/VBD, my/PRP$, breakfast/NN, ./.]",(ROOT (S (SBAR (WHNP (WDT Which)) (S (VP (VBZ reminds) (NP (PRP me))))) (NP (PRP I)) (VP (VBD meant) (S (VP (TO to) (VP (VB get) (VP (VBN weighed) (NP (DT this) (NN morning)) (SBAR (IN before) (S (NP (PRP I)) (VP (VBD had) (NP (PRP$ my) (NN breakfast)))))))))) (. .)))
69402,"(69,)",That don 't matter .,"[That/DT, don/NNP, 't/PRP, matter/NN, ./.]",(ROOT (S (NP (DT That)) (VP (NNP don) (S (NP (PRP 't)) (VP (NN matter)))) (. .)))
69402,"(70,)",And I forgot .,"[And/CC, I/PRP, forgot/VBD, ./.]",(ROOT (S (CC And) (NP (PRP I)) (VP (VBD forgot)) (. .)))
69402,"(71,)",Remind me tomorrow .,"[Remind/VB, me/PRP, tomorrow/NN, ./.]",(ROOT (S (VP (VB Remind) (NP (PRP me)) (NP (NN tomorrow))) (. .)))
69402,"(72,)",Before I eat anything .,"[Before/IN, I/PRP, eat/VBP, anything/NN, ./.]",(ROOT (S (ADVP (IN Before)) (NP (PRP I)) (VP (VBP eat) (NP (NN anything))) (. .)))
69402,"(73,)",I think I 'd better put some washing in before I go out .,"[I/PRP, think/VBP, I/PRP, 'd/MD, better/RB, put/VB, some/DT, washing/VBG, in/IN, before/IN, I/PRP, go/VBP, out/RP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD 'd) (ADVP (RB better)) (VP (VB put) (NP (NP (DT some)) (VP (VBG washing) (PP (IN in) (SBAR (IN before) (S (NP (PRP I)) (VP (VBP go) (PRT (RP out))))))))))))) (. .)))
69402,"(74, 75)",Are those  ankle boots dry ?,"[Are/VBP, those/DT, ankle/NN, boots/NNS, dry/JJ, ?/.]",(ROOT (SQ (VBP Are) (NP (DT those) (NN ankle) (NP (NNS boots))) (ADJP (JJ dry)) (. ?)))
69402,"(76, 77)",That 's all she 's saying  you couldn 't it with these before if you   .,"[That/DT, 's/VBZ, all/DT, she/PRP, 's/VBZ, saying/VBG, you/PRP, couldn/VBP, 't/PRP, it/PRP, with/IN, these/DT, before/IN, if/IN, you/PRP, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NP (DT all)) (SBAR (S (NP (PRP she)) (VP (VBZ 's) (VP (VBG saying) (SBAR (S (NP (PRP you)) (VP (VBP couldn) (S (NP (PRP 't)) (NP (PRP it))) (PP (IN with) (NP (NP (DT these)) (SBAR (IN before) (FRAG (IN if) (NP (PRP you))))))))))))))) (. .)))
69402,"(78,)",What ?,"[What/WDT, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (. ?)))
69402,"(79,)",The boots you 've got on .,"[The/DT, boots/NNP, you/PRP, 've/VBP, got/VBN, on/IN, ./.]",(ROOT (S (NP (DT The) (NNP boots)) (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (PP (IN on)))) (. .)))
69402,"(80, 81)",Give better support than the ones  those flat heeled ones .,"[Give/VB, better/JJR, support/NN, than/IN, the/DT, ones/NNS, those/DT, flat/JJ, heeled/JJ, ones/NNS, ./.]",(ROOT (S (VP (VB Give) (NP (JJR better) (NN support)) (PP (IN than) (NP (NP (DT the) (NNS ones)) (NP (DT those) (JJ flat) (JJ heeled) (NNS ones))))) (. .)))
69402,"(82,)",Where did you buy them from ?,"[Where/WRB, did/VBD, you/PRP, buy/VB, them/PRP, from/IN, ?/.]",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD did) (NP (PRP you)) (VP (VB buy) (NP (PRP them)) (PP (IN from)))) (. ?)))
69402,"(83,)",For your Achilles ' tendon .,"[For/IN, your/PRP$, Achilles/NNS, '/POS, tendon/NN, ./.]",(ROOT (FRAG (PP (IN For) (NP (NP (PRP$ your) (NNS Achilles) (POS ')) (NN tendon))) (. .)))
69402,"(84,)",It 's better now .,"[It/PRP, 's/VBZ, better/RB, now/RB, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADVP (RB better)) (ADVP (RB now))) (. .)))
69402,"(85, 86, 87)","I get , on Wednesday I , I did the erm  Angeline said to me don 't do the high impact if you think it 's  going to hurt again .","[I/PRP, get/VBP, ,/,, on/IN, Wednesday/NNP, I/PRP, ,/,, I/PRP, did/VBD, the/DT, erm/NNP, Angeline/NNP, said/VBD, to/TO, me/PRP, don/NNP, 't/PRP, do/VBP, the/DT, high/JJ, impact/NN, if/IN, you/PRP, think/VBP, it/PRP, 's/VBZ, going/VBG, to/TO, hurt/VB, again/RB, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBP get) (, ,) (PP (IN on) (NP (NP (NNP Wednesday)) (NP (PRP I)))))) (, ,) (NP (PRP I)) (VP (VBD did) (SBAR (S (NP (DT the) (NNP erm) (NNP Angeline)) (VP (VBD said) (PP (TO to) (NP (PRP me))) (NP (NP (NNP don)) (SBAR (S (NP (PRP 't)) (VP (VBP do) (NP (DT the) (JJ high) (NN impact)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB hurt) (ADVP (RB again)))))))))))))))))))) (. .)))"
69402,"(88,)",I co- still have the support under it .,"[I/PRP, co-/VBP, still/RB, have/VB, the/DT, support/NN, under/IN, it/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP co-) (ADVP (RB still)) (VP (VB have) (NP (NP (DT the) (NN support)) (PP (IN under) (NP (PRP it)))))) (. .)))
69402,"(89,)",I managed okay .,"[I/PRP, managed/VBD, okay/JJ, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD managed) (ADJP (JJ okay))) (. .)))
69402,"(90,)",It didn 't hurt .,"[It/PRP, didn/VBD, 't/PRP, hurt/VB, ./.]",(ROOT (S (NP (PRP It)) (VP (VBD didn) (S (NP (PRP 't)) (VP (VB hurt)))) (. .)))
69402,"(91,)",Who 's Angeline ?,"[Who/WP, 's/VBZ, Angeline/NNP, ?/.]",(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBZ 's) (NP (NNP Angeline))) (. ?)))
69402,"(92,)",Which is the right one for,"[Which/WDT, is/VBZ, the/DT, right/JJ, one/CD, for/IN]",(ROOT (SBARQ (WHNP (WDT Which)) (SQ (VBZ is) (NP (DT the) (JJ right) (CD one)) (PP (IN for)))))
69402,"(93,)",The pink one 's a dish cloth .,"[The/DT, pink/JJ, one/NN, 's/VBZ, a/DT, dish/NN, cloth/NN, ./.]",(ROOT (S (NP (DT The) (JJ pink) (NN one)) (VP (VBZ 's) (NP (DT a) (NN dish) (NN cloth))) (. .)))
69402,"(94, 95)",The blue one 's the one I wipe up  small stains off the floor .,"[The/DT, blue/JJ, one/NN, 's/VBZ, the/DT, one/CD, I/PRP, wipe/VBP, up/RP, small/JJ, stains/NNS, off/IN, the/DT, floor/NN, ./.]",(ROOT (S (NP (DT The) (JJ blue) (NN one)) (VP (VBZ 's) (NP (NP (DT the) (CD one)) (SBAR (S (NP (PRP I)) (VP (VBP wipe) (PRT (RP up)) (NP (NP (JJ small) (NNS stains)) (PP (IN off) (NP (DT the) (NN floor))))))))) (. .)))
69402,"(96,)",Right .,"[Right/NN, ./.]",(ROOT (INTJ (NN Right) (. .)))
69402,"(97,)",I wonder how Bryony is ?,"[I/PRP, wonder/VBP, how/WRB, Bryony/NNP, is/VBZ, ?/.]",(ROOT (S (NP (PRP I)) (VP (VBP wonder) (SBAR (WHADVP (WRB how)) (S (NP (NNP Bryony)) (VP (VBZ is))))) (. ?)))
69402,"(98,)",What ?,"[What/WDT, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (. ?)))
69402,"(99,)","I said , I wonder how Bryony is ?","[I/PRP, said/VBD, ,/,, I/PRP, wonder/VBP, how/WRB, Bryony/NNP, is/VBZ, ?/.]","(ROOT (S (S (NP (PRP I)) (VP (VBD said))) (, ,) (NP (PRP I)) (VP (VBP wonder) (SBAR (WHADVP (WRB how)) (S (NP (NNP Bryony)) (VP (VBZ is))))) (. ?)))"
69402,"(100,)",And she wasn 't very well yesterday .,"[And/CC, she/PRP, wasn/VBD, 't/PRP, very/RB, well/RB, yesterday/NN, ./.]",(ROOT (S (CC And) (NP (PRP she)) (VP (VBD wasn) (NP (PRP 't)) (ADVP (RB very) (RB well)) (NP (NN yesterday))) (. .)))
69402,"(101, 102, 103)",Every time she got a bump  or knock off one of the others she was crying  instead of clouting them back .,"[Every/DT, time/NN, she/PRP, got/VBD, a/DT, bump/NN, or/CC, knock/VB, off/RP, one/CD, of/IN, the/DT, others/NNS, she/PRP, was/VBD, crying/VBG, instead/RB, of/IN, clouting/VBG, them/PRP, back/RB, ./.]",(ROOT (S (S (NP (DT Every) (NN time)) (NP (PRP she)) (VP (VP (VBD got) (NP (DT a) (NN bump))) (CC or) (VP (VB knock) (PRT (RP off)) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS others))))))) (NP (PRP she)) (VP (VBD was) (VP (VBG crying) (PP (RB instead) (IN of) (S (VP (VBG clouting) (NP (PRP them)) (ADVP (RB back))))))) (. .)))
69402,"(104, 105)","It must have been Richard , I do- I don 't think  Richard 's very , he","[It/PRP, must/MD, have/VB, been/VBN, Richard/NNP, ,/,, I/PRP, do-/JJ, I/PRP, don/VBP, 't/PRP, think/VB, Richard/NNP, 's/POS, very/RB, ,/,, he/PRP]","(ROOT (S (NP (PRP It)) (VP (MD must) (VP (VP (VB have) (VP (VBN been) (NP (NNP Richard)))) (PRN (, ,) (S (NP (PRP I)) (ADJP (JJ do-) (SBAR (S (NP (PRP I)) (VP (VBP don) (FRAG (NP (PRP 't)) (VP (VB think) (NP (NNP Richard) (POS 's)) (ADVP (RB very))))))))) (, ,)) (NP (PRP he))))))"
69402,"(106,)","Sorry , what d 'ya say Richard was ?","[Sorry/JJ, ,/,, what/WDT, d/NN, 'ya/NNS, say/VBP, Richard/NNP, was/VBD, ?/.]","(ROOT (FRAG (ADJP (JJ Sorry)) (, ,) (SBAR (WHNP (WDT what)) (S (NP (NN d) (NNS 'ya)) (VP (VBP say) (SBAR (S (NP (NNP Richard)) (VP (VBD was))))))) (. ?)))"
69402,"(107, 108)",I said I don 't  well stop running the tap .,"[I/PRP, said/VBD, I/PRP, don/VBP, 't/PRP, well/RB, stop/VB, running/VBG, the/DT, tap/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBP don) (SBAR (S (NP (PRP 't)) (ADVP (RB well)) (VP (VB stop) (S (VP (VBG running) (NP (DT the) (NN tap))))))))))) (. .)))
69402,"(109, 110)","I say , I don 't think Richard 's  very well either .","[I/PRP, say/VBP, ,/,, I/PRP, don/VBP, 't/PRP, think/VB, Richard/NNP, 's/POS, very/RB, well/RB, either/CC, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBP say))) (, ,) (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB think) (S (NP (NNP Richard) (POS 's)) (ADJP (RB very) (RB well)) (ADVP (CC either)))))) (. .)))"
69402,"(111,)",Cos he cried more than usual .,"[Cos/NN, he/PRP, cried/VBD, more/JJR, than/IN, usual/JJ, ./.]",(ROOT (S (NP (NN Cos)) (NP (PRP he)) (VP (VBD cried) (ADJP (ADVP (JJR more) (IN than)) (JJ usual))) (. .)))
