swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw09utt/sw_0971_2839.utt,2/sw2839,2839,10,+,A,5,1,"-- # it ought # to go, [ [ it, + it's just, ] + it's ] ridiculous.  /","--/: it/PRP ought/MD to/TO go/VB ,/, it/PRP ,/, it/PRP 's/BES just/RB ,/, it/PRP 's/BES ridiculous/JJ ./.","(ROOT (S (SBAR (WHADVP (WRB When)) (, ,) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBP pay) (ADVP (ADVP (RB so) (JJ much) (PP (IN for) (NP (DT the) (PRN (, ,) (PP (IN for) (NP (DT the) (NN debt))) (, ,))))) (PP (IN instead) (PP (IN of) (S (VP (VBG using) (NP (NP (DT the) (NN money)) (PP (IN for) (SBAR (WHADVP (WRB where)) (S (NP (PRP it)) (VP (MD ought) (S (VP (TO to) (VP (VB go)))))))))))))) (, ,) (S (NP (PRP it)))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB just))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ ridiculous))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,11,%,A,5,2,"What kills me is when they had a chance [ to, + to, ] {F uh, } put into [ ac-, + action ] [ [ the, + the g-, ] + the Glen-, Rub-, ] - /","What/WP kills/VBZ me/PRP is/VBZ when/WRB they/PRP had/VBD a/DT chance/NN to/TO ,/, to/TO ,/, uh/UH ,/, put/VB into/IN ac-/NN ,/, action/NN the/DT ,/, the/DT g-/NNP ,/, the/DT Glen-/NNP ,/, Rub-/NNP ,/,","(ROOT (SBARQ (WHNP (WP What)) (SQ (VP (VBZ kills) (SBAR (S (NP (PRP me)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD had) (NP (DT a) (NN chance) (S (VP (TO to)))) (, ,) (PP (TO to)) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB put) (PP (IN into) (NP (NP (NN ac-)) (, ,) (NP (NP (NN action) (DT the)) (, ,) (NP (DT the) (NNP g-)) (, ,) (NP (DT the) (NNP Glen-)) (, ,) (NP (NNP Rub-))) (, ,)))))))))))))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,12,qw,A,5,3,"what is it, {F uh, } the act where they had to cut everything across the board -- /","what/WP is/VBZ it/PRP ,/, uh/UH ,/, the/DT act/NN where/WRB they/PRP had/VBD to/TO cut/VB everything/NN across/IN the/DT board/NN --/:","(ROOT (FRAG (NP (NP (WP what)) (SBAR (S (VP (VBZ is) (NP (PRP it)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))) (X (NP (DT the) (NN act)) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBD had) (S (VP (TO to) (VP (VB cut) (NP (NN everything)) (PP (IN across) (NP (DT the) (NN board))))))))))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,13,sd,B,6,1,"[ The Gramm, + # the Gramm ] Rudman Act.  /","The/DT Gramm/NNP ,/, the/DT Gramm/NNP Rudman/NNP Act/NNP ./.","(ROOT (NP (NP (DT The) (NNP Gramm)) (, ,) (NP (DT the) (NNP Gramm) (NNP Rudman) (NNP Act)) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,14,%,B,6,2,Yeah. # /,Yeah/UH ./.,(ROOT (INTJ (UH Yeah) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,15,sv,A,7,1,"-- # [ they kept doing, + # they kept putting off doing ] that.  /","--/: they/PRP kept/VBD doing/VBG ,/, they/PRP kept/VBD putting/VBG off/RB doing/VBG that/DT ./.","(ROOT (S (S (NP (PRP they)) (VP (VBD kept) (S (VP (VBG doing))))) (, ,) (NP (PRP they)) (VP (VBD kept) (S (VP (VBG putting) (ADVP (RB off)) (S (VP (VBG doing) (NP (DT that))))))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,16,qh,A,7,2,Why did they do that?  /,Why/WRB did/VBD they/PRP do/VBP that/DT ?/.,(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBD did) (NP (PRP they)) (VP (VBP do) (NP (DT that)))) (. ?))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,17,sv,A,7,3,That's exactly what they needed to do to get their act together. /,That/DT 's/BES exactly/RB what/WP they/PRP needed/VBD to/TO do/VB to/TO get/VB their/PRP$ act/NN together/RB ./.,(ROOT (S (NP (DT That)) (VP (BES 's) (SBAR (WHADJP (RB exactly) (WP what)) (S (NP (PRP they)) (VP (VBD needed) (S (VP (TO to) (VP (VB do) (S (VP (TO to) (VP (VB get) (NP (PRP$ their) (NN act)) (ADVP (RB together)))))))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,18,b,B,8,1,"Yeah,  /","Yeah/UH ,/,","(ROOT (INTJ (UH Yeah) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,19,sv,B,8,2,{D well } I think they spend too much.  /,well/UH I/PRP think/VBP they/PRP spend/VBP too/RB much/JJ ./.,(ROOT (S (S (INTJ (UH well)) (NP (PRP I)) (VP (VBP think))) (NP (PRP they)) (VP (VBP spend) (ADJP (RB too) (JJ much))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,20,sv,B,8,3,"[ They, + they ] spend too much on themselves, too,  /","They/PRP ,/, they/PRP spend/VBP too/RB much/JJ on/IN themselves/PRP ,/, too/RB ,/,","(ROOT (PRN (S (NP (PRP They)) (, ,) (NP (PRP they)) (VP (VBP spend) (ADJP (RB too) (JJ much)) (PP (IN on) (NP (PRP themselves))) (, ,) (ADVP (RB too)))) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,21,sv,B,8,4,"[ [ the, + the, ] +","the/DT ,/, the/DT ,/,","(ROOT (NP (NP (DT the)) (, ,) (NP (DT the)) (, ,) (NP (NP (DT A) (NN lot)) (PP (IN of) (NP (DT the)))) (, ,) (S (NP (DT the) (NNS taxes)) (VP (VBZ gets) (ADVP (RB back)) (PP (IN to) (NP (NP (NP (DT the) (NNS members)) (PP (IN of) (NP (DT the) (NNP Congress)))) (CC and) (NP (NP (NN everything)) (NP (DT all))))) (S (VP (VBG running) (PP (IN for) (NP (NP (CD twenty) (NNS years)) (, ,) (ADJP (IN rather) (PP (IN than))))))))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,22,aa,A,9,1,"{F Oh, } yeah,  /","Oh/UH ,/, yeah/UH ,/,","(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,23,aa,A,9,2,I think so too. /,I/PRP think/VBP so/RB too/RB ./.,(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so) (RB too))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,24,+,B,10,1,"A lot of [ the, + the ] ] taxes gets back to the members of the Congress and  everything all running for twenty years, # rather than. # -/","A/DT lot/NN of/IN the/DT ,/, the/DT taxes/NNS gets/VBZ back/RB to/IN the/DT members/NNS of/IN the/DT Congress/NNP and/CC everything/NN all/DT running/VBG for/IN twenty/CD years/NNS ,/, rather/IN than/IN ./.","(ROOT (NP (NP (DT the)) (, ,) (NP (DT the)) (, ,) (NP (NP (DT A) (NN lot)) (PP (IN of) (NP (DT the)))) (, ,) (S (NP (DT the) (NNS taxes)) (VP (VBZ gets) (ADVP (RB back)) (PP (IN to) (NP (NP (NP (DT the) (NNS members)) (PP (IN of) (NP (DT the) (NNP Congress)))) (CC and) (NP (NP (NN everything)) (NP (DT all))))) (S (VP (VBG running) (PP (IN for) (NP (NP (CD twenty) (NNS years)) (, ,) (ADJP (IN rather) (PP (IN than))))))))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,25,aa,A,11,1,"# Yeah,  /","Yeah/UH ,/,","(ROOT (INTJ (UH Yeah) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,26,sv,A,11,2,{D well. } #  Things like mailings.  /,well/UH ./. Things/NNS like/IN mailings/NNS ./.,(ROOT (S (INTJ (UH well) (. .)) (VP (NNS Things) (PP (IN like) (NP (NNS mailings)))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,27,sv,A,11,3,They don't use any kind of restraint on some of these things.  /,They/PRP do/VBP n't/RB use/VB any/DT kind/NN of/IN restraint/NN on/IN some/DT of/IN these/DT things/NNS ./.,(ROOT (S (NP (PRP They)) (VP (VBP do) (RB n't) (VP (VB use) (NP (NP (DT any) (NN kind)) (PP (IN of) (NP (NN restraint)))) (PP (IN on) (NP (NP (DT some)) (PP (IN of) (NP (DT these) (NNS things))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,28,sv,A,11,4,They just think once they get there that they can do just anything.  /,They/PRP just/RB think/VBP once/RB they/PRP get/VBP there/RB that/IN they/PRP can/MD do/VB just/RB anything/NN ./.,(ROOT (S (NP (PRP They)) (ADVP (RB just)) (VP (VBP think) (SBAR (RB once) (S (NP (PRP they)) (VP (VBP get) (ADVP (RB there)) (SBAR (IN that) (S (NP (PRP they)) (VP (MD can) (VP (VB do) (NP (RB just) (NN anything)))))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,29,ar,A,11,5,"No,  /","No/UH ,/,","(ROOT (INTJ (UH No) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,30,sd,A,11,6,"[ they don't, + they don't ] try [ to, + {F uh } --","they/PRP do/VBP n't/RB ,/, they/PRP do/VBP n't/RB try/VB to/TO ,/, uh/UH --/:","(ROOT (NP (S (S (NP (PRP they)) (VP (VBP do) (RB n't))) (, ,) (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB try) (PP (TO to)) (PRN (, ,) (INTJ (UH uh) (PP (TO to) (VP (VB conserve))) (. .))))))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,31,aa,B,12,1,"No,  /","No/UH ,/,","(ROOT (INTJ (UH No) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,32,aa,B,12,2,you're right. /,you/PRP 're/VBP right/JJ ./.,(ROOT (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,33,+,A,13,1,-- to ] conserve.  /,--/: to/TO conserve/VB ./.,"(ROOT (NP (S (S (NP (PRP they)) (VP (VBP do) (RB n't))) (, ,) (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB try) (PP (TO to)) (PRN (, ,) (INTJ (UH uh) (PP (TO to) (VP (VB conserve))) (. .))))))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,34,sv,A,13,2,"{C And } of course, here at home, we end up conserving and  conserving  /","And/CC of/IN course/NN ,/, here/RB at/IN home/NN ,/, we/PRP end/VBP up/RP conserving/VBG and/CC conserving/VBG","(ROOT (S (CC And) (PP (IN of) (NP (NN course))) (, ,) (ADVP (RB here) (PP (IN at) (NP (NN home)))) (, ,) (NP (PRP we)) (VP (VBP end) (PRT (RP up)) (S (VP (VBG conserving) (CC and) (VBG conserving))))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,35,sd,A,13,3,"{C and, } {E I mean, } when I don't have money, I don't buy something. /","and/CC ,/, I/PRP mean/VBP ,/, when/WRB I/PRP do/VBP n't/RB have/VB money/NN ,/, I/PRP do/VBP n't/RB buy/VB something/NN ./.","(ROOT (S (CC and) (PRN (, ,) (S (NP (PRP I)) (VP (VBP mean))) (, ,)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NN money)))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB buy) (NP (NN something)))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,36,aa,B,14,1,"Yeah,  /","Yeah/UH ,/,","(ROOT (INTJ (UH Yeah) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,37,aa,B,14,2,no  /,no/UH,(ROOT (INTJ (UH no))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,38,sv,B,14,3,"I think, {F uh, } it is the Congress and them just don't have any interest in saving us money, {F uh, } /","I/PRP think/VBP ,/, uh/UH ,/, it/PRP is/VBZ the/DT Congress/NNP and/CC them/PRP just/RB do/VBP n't/RB have/VB any/DT interest/NN in/IN saving/VBG us/PRP money/NN ,/, uh/UH ,/,","(ROOT (S (S (NP (PRP I)) (VP (VBP think))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBZ is) (NP (DT the) (NNP Congress)))) (CC and) (S (NP (PRP them)) (ADVP (RB just)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT any) (NN interest)) (PP (IN in) (S (VP (VP (VBG saving) (NP (PRP us)) (NP (NN money))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,39,aa,A,15,1,They sure don't seem to. /,They/PRP sure/RB do/VBP n't/RB seem/VB to/TO ./.,(ROOT (S (NP (PRP They)) (ADVP (RB sure)) (VP (VBP do) (RB n't) (VP (VB seem) (PP (TO to)))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,40,sv,B,16,1,The national debt is terrible.  /,The/DT national/JJ debt/NN is/VBZ terrible/JJ ./.,(ROOT (S (NP (DT The) (JJ national) (NN debt)) (VP (VBZ is) (ADJP (JJ terrible))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,41,%,B,16,2,"{F Uh, } -/","Uh/UH ,/,","(ROOT (FRAG (PP (UH Uh)) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,42,sv,A,17,1,"There are a couple of things I think we need to really work for,  /","There/EX are/VBP a/DT couple/NN of/IN things/NNS I/PRP think/VBP we/PRP need/VBP to/TO really/RB work/VB for/IN ,/,","(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NP (NNS things)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP need) (S (VP (TO to) (VP (ADVP (RB really)) (VB work) (PP (IN for))))))))))))))) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,43,sd,A,17,2,{C and } I don't know quite how to do it.  /,and/CC I/PRP do/VBP n't/RB know/VB quite/RB how/WRB to/TO do/VB it/PRP ./.,(ROOT (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (ADVP (RB quite)) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB do) (NP (PRP it)))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,44,sv,A,17,3,"{C But } I think we need to have the one line, {F uh, } {F uh, } veto so that they don't have to spend so much time doing everything.  /","But/CC I/PRP think/VBP we/PRP need/VBP to/TO have/VB the/DT one/CD line/NN ,/, uh/UH ,/, uh/UH ,/, veto/NN so/IN that/IN they/PRP do/VBP n't/RB have/VB to/TO spend/VB so/RB much/JJ time/NN doing/VBG everything/NN ./.","(ROOT (S (CC But) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP need) (S (VP (TO to) (VP (VB have) (S (NP (NP (DT the) (CD one) (NN line)) (, ,) (FRAG (INTJ (UH uh) (, ,) (UH uh)) (, ,) (NP (NN veto))))) (SBAR (IN so) (IN that) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB spend) (NP (RB so) (JJ much) (NN time)) (S (VP (VBG doing) (NP (NN everything)))))))))))))))))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,45,sv,A,17,4,If it's a good idea --,If/IN it/PRP 's/BES a/DT good/JJ idea/NN --/:,(ROOT (S (SBAR (IN If) (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ good) (NN idea))))) (NP (PRP it)) (VP (MD can) (VP (VB be) (VP (VBN done) (ADVP (RB again))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,46,b,B,18,1,# Right. # /,Right/UH ./.,(ROOT (INTJ (UH Right) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,47,+,A,19,1,-- # it can #  be done again. /,--/: it/PRP can/MD be/VB done/VBN again/RB ./.,(ROOT (S (SBAR (IN If) (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ good) (NN idea))))) (NP (PRP it)) (VP (MD can) (VP (VB be) (VP (VBN done) (ADVP (RB again))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,48,b,B,20,1,"# {F Oh, } yeah. # /","Oh/UH ,/, yeah/UH ./.","(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,49,sv,A,21,1,"# {D You know, } # {C and } if it's not, so what.  /","You/PRP know/VBP ,/, and/CC if/IN it/PRP 's/BES not/RB ,/, so/RB what/WP ./.","(ROOT (S (S (NP (PRP You)) (VP (VP (VBP know)) (, ,) (CC and) (VP (PP (IN if) (NP (PRP it))) (ADVP (BES 's) (RB not))))) (, ,) (RB so) (SBARQ (WHNP (WP what)) (. .))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,50,sv,A,21,2,At least you haven't thrown out all the work they've done for months and months and months and months. /,At/IN least/JJS you/PRP have/VBP n't/RB thrown/VBN out/RB all/PDT the/DT work/NN they/PRP 've/VBP done/VBN for/IN months/NNS and/CC months/NNS and/CC months/NNS and/CC months/NNS ./.,(ROOT (S (ADVP (IN At) (JJS least)) (NP (PRP you)) (VP (VBP have) (RB n't) (VP (VBN thrown) (PRT (RB out)) (NP (NP (PDT all) (DT the) (NN work)) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN done) (PP (IN for) (NP (NP (NNS months) (CC and) (NNS months)) (CC and) (NP (NNS months) (CC and) (NNS months))))))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,51,sd,B,22,1,"I saw one on TWENTY TWENTY about a month ago I guess, whereas one, I think that he was a Senator from Pennsylvania or something like that.  /","I/PRP saw/VBD one/CD on/IN TWENTY/CD TWENTY/CD about/IN a/DT month/NN ago/RB I/PRP guess/VBP ,/, whereas/IN one/CD ,/, I/PRP think/VBP that/IN he/PRP was/VBD a/DT Senator/NNP from/IN Pennsylvania/NNP or/CC something/NN like/IN that/DT ./.","(ROOT (S (S (NP (PRP I)) (VP (VBD saw) (NP (CD one)) (PP (IN on) (NP (QP (CD TWENTY) (CD TWENTY)))) (PP (IN about) (ADVP (NP (DT a) (NN month)) (RB ago))))) (NP (PRP I)) (VP (VBP guess) (SBAR (S (PRN (, ,) (SBAR (IN whereas) (FRAG (NP (CD one)))) (, ,)) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD was) (NP (NP (NP (DT a) (NNP Senator)) (PP (IN from) (NP (NNP Pennsylvania)))) (CC or) (NP (NP (NN something)) (PP (IN like) (NP (DT that)))))))))))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,52,sd,B,22,2,"Maybe it was, {F uh, } Connecticut,  /","Maybe/RB it/PRP was/VBD ,/, uh/UH ,/, Connecticut/NNP ,/,","(ROOT (PRN (S (ADVP (RB Maybe)) (NP (PRP it)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (ADJP (NNP Connecticut)))) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,53,sd,B,22,3,"I'm not sure,  /","I/PRP 'm/VBP not/RB sure/JJ ,/,","(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure))) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,54,sd,B,22,4,"one of the small states up there, where he had a bill through for [ another, + {F uh, } a ] drug agency that would be located there,  /","one/CD of/IN the/DT small/JJ states/NNS up/IN there/RB ,/, where/WRB he/PRP had/VBD a/DT bill/NN through/RP for/IN another/DT ,/, uh/UH ,/, a/DT drug/NN agency/NN that/WDT would/MD be/VB located/VBN there/RB ,/,","(ROOT (FRAG (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJ small) (NNS states)))) (PP (IN up) (NP (NP (RB there)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP he)) (VP (VBD had) (NP (DT a) (NN bill)) (PP (RP through) (PP (IN for) (NP (NP (ADJP (DT another) (PRN (, ,) (INTJ (UH uh)) (, ,))) (DT a) (NN drug) (NN agency)) (SBAR (WHNP (WDT that)) (S (VP (MD would) (VP (VB be) (VP (VBN located) (ADVP (RB there))))))))))))) (, ,)))))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,55,sd,B,22,5,{C and } he was the only one that wanted it.  /,and/CC he/PRP was/VBD the/DT only/JJ one/CD that/WDT wanted/VBD it/PRP ./.,(ROOT (S (CC and) (NP (PRP he)) (VP (VBD was) (NP (NP (DT the) (JJ only) (CD one)) (SBAR (WHNP (WDT that)) (S (VP (VBD wanted) (NP (PRP it))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,56,sd,B,22,6,Was going to cost millions of dollars.  /,Was/VBD going/VBG to/TO cost/VB millions/NNS of/IN dollars/NNS ./.,(ROOT (S (VP (VBD Was) (VP (VBG going) (S (VP (TO to) (VP (VB cost) (NP (NP (NNS millions)) (PP (IN of) (NP (NNS dollars))))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,57,sd,B,22,7,"The drug agency didn't want it,  /","The/DT drug/NN agency/NN did/VBD n't/RB want/VB it/PRP ,/,","(ROOT (S (NP (DT The) (NN drug) (NN agency)) (VP (VBD did) (RB n't) (VP (VB want) (NP (PRP it)))) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,58,sd,B,22,8,{C and } he was going to build it in his home town  /,and/CC he/PRP was/VBD going/VBG to/TO build/VB it/PRP in/IN his/PRP$ home/NN town/NN,(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB build) (NP (PRP it)) (PP (IN in) (NP (PRP$ his) (NN home) (NN town))))))))))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,59,sd,B,22,9,"{C and } they were going to hire a lot of people, /","and/CC they/PRP were/VBD going/VBG to/TO hire/VB a/DT lot/NN of/IN people/NNS ,/,","(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBD were) (VP (VBG going) (S (VP (TO to) (VP (VB hire) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people))))))))) (, ,))))",
